user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_money_other_brokers,mifid_invested_other_brokers,mifid_experience,has_linked_account,linked_account_days,has_demo_account,demo_account_days,has_demo_trade,demo_trade_days,has_mock_account,mock_account_days,user_flow_name,days_until_conversion_or_today,is_converted
USD,101,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,10,0
USD,31,0.0,1,1.0,0,,0,1,12,13,1,0,0,1,0,,0,,0,,0,,2,11,0
USD,125,0.0,1,1.0,1,3.0,2,4,7,7,0,1,5,0,0,,0,,0,,0,,2,11,0
EUR,46,0.0,1,1.0,0,,0,1,8,9,1,1,6,1,0,,0,,0,,0,,2,11,0
EUR,46,1.0,0,,0,,0,1,12,13,0,0,0,0,0,,0,,0,,0,,2,11,0
USD,100,0.0,0,,0,,0,1,12,13,0,0,0,0,0,,0,,0,,0,,2,11,0
EUR,46,0.0,0,,0,,0,1,7,8,1,1,13,1,0,,0,,0,,0,,2,11,0
USD,101,0.0,1,1.0,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,11,0
EUR,46,0.0,1,0.0,0,,0,1,6,7,1,1,6,1,0,,0,,0,,0,,2,11,0
USD,31,0.0,1,0.0,1,0.0,24,3,7,8,0,0,0,0,0,,1,0.0,0,,0,,2,0,1
EUR,46,0.0,0,,0,,0,1,13,13,0,0,0,0,0,,0,,0,,0,,2,11,0
USD,74,0.0,1,0.0,0,,0,1,5,12,1,1,13,1,0,,0,,0,,0,,2,11,0
USD,160,0.0,0,,0,,0,1,12,12,1,0,0,1,0,,0,,0,,0,,2,11,0
USD,160,0.0,0,,0,,0,1,13,13,1,0,0,1,0,,0,,0,,0,,2,11,0
USD,43,0.0,1,0.0,1,1.0,8,3,13,5,0,1,5,0,0,,0,,0,,0,,2,1,1
USD,31,1.0,1,1.0,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,12,0
GBP,53,0.0,0,,0,,0,1,7,8,1,1,5,1,0,,0,,0,,0,,2,12,0
EUR,9,0.0,1,1.0,1,4.0,28,5,15,15,1,1,9,0,0,,0,,0,,0,,2,12,0
EUR,46,9.0,0,,0,,0,1,0,0,0,0,0,0,0,,0,,0,,0,,2,12,0
USD,111,0.0,0,,0,,0,1,13,5,1,0,0,1,0,,0,,0,,0,,2,12,0
USD,31,0.0,1,1.0,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,12,0
EUR,46,0.0,1,1.0,0,,0,1,13,13,0,1,5,0,0,,0,,0,,0,,2,12,0
GBP,53,0.0,0,,0,,0,1,12,12,0,1,12,1,0,,0,,0,,0,,2,12,0
USD,74,0.0,0,,0,,0,1,12,12,1,1,12,0,0,,0,,0,,0,,2,12,0
USD,114,0.0,0,,0,,0,1,12,12,1,1,12,1,0,,0,,0,,0,,2,12,0
EUR,46,0.0,1,1.0,1,1.0,2,0,7,7,0,0,0,0,0,,0,,0,,0,,2,12,0
EUR,46,0.0,0,,0,,0,1,12,13,0,1,12,0,0,,0,,0,,0,,2,12,0
USD,30,0.0,0,,0,,0,1,6,13,0,1,5,1,0,,0,,0,,0,,2,12,0
USD,53,0.0,0,,0,,0,1,12,9,0,0,0,1,0,,0,,0,,0,,2,12,0
USD,101,0.0,0,,0,,0,1,12,12,0,0,0,0,0,,0,,0,,0,,2,12,0
