user_currency,user_country,start_mifid_days,has_finished_mifid,finish_mifid_days,has_deposit,first_deposit_days,first_deposit_amount,first_deposit_platform,mifid_actual_savings,mifid_next_year_savings,mifid_qualifications,mifid_experience,mifid_money_other_brokers,mifid_invested_other_brokers,user_flow_name,first_trade_investor_account_demo_days,conversion
USD,25,0,1,1,0,,0,1,12,12,1,1,0,0,3,,0
EUR,36,0,1,1,0,,0,1,12,13,0,0,0,0,3,,0
EUR,36,0,0,,0,,0,1,13,13,1,0,1,12,3,,0
EUR,36,0,0,,0,,0,1,13,6,0,0,1,7,0,,0
USD,25,0,1,2,0,,0,1,5,5,1,0,1,12,3,,0
USD,25,0,1,2,1,2,3.858322401419862643722509453,3,5,6,1,0,1,12,2,,0
EUR,81,0,1,2,0,,0,1,8,8,1,0,1,6,3,,0
USD,24,0,0,,0,,0,1,13,13,0,1,1,13,3,,0
GBP,36,0,0,,0,,0,1,12,12,0,0,0,0,3,,0
GBP,8,3,1,3,1,5,2.314993440851917586233505672,5,8,6,1,1,1,7,3,,0
EUR,36,0,1,0,1,12,2.450034724901612778763793503,5,6,6,1,0,1,5,3,,0
EUR,36,4,0,,0,,0,1,12,12,0,0,0,0,0,,0
USD,6,0,1,10,0,,0,1,13,6,1,1,0,0,0,,0
EUR,36,2,1,4,1,4,7.716644802839725287445018906,0,13,13,0,0,0,0,2,0,0
GBP,68,0,1,0,1,2,5.721892121305656300640481519,0,12,13,1,0,1,12,3,0,0
USD,77,0,1,1,1,16,1.929161200709931321861254726,5,5,5,1,0,0,0,3,,0
USD,77,0,0,,0,,0,1,12,13,0,0,0,0,3,,0
USD,25,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
EUR,36,0,1,2,1,6,3.858322401419862643722509453,5,13,5,1,0,0,0,3,0,0
EUR,36,1,1,6,1,6,4.051238521490855775908634926,0,6,7,1,1,0,0,3,,0
EUR,58,0,1,0,0,,0,1,13,12,1,1,1,12,3,,0
EUR,36,0,1,0,0,,0,1,5,6,1,1,0,0,3,,0
USD,64,0,0,,0,,0,1,12,13,0,0,0,0,3,2,0
EUR,29,0,1,2,1,2,3.858322401419862643722509453,0,5,13,1,0,0,0,2,0,0
EUR,36,0,1,1,1,2,1.929161200709931321861254726,0,12,13,0,0,1,12,3,,0
EUR,36,0,1,1,0,,0,1,13,12,1,1,1,12,3,,0
EUR,38,0,1,1,1,1,1.929161200709931321861254726,3,6,13,1,0,1,5,3,,0
EUR,36,0,0,,0,,0,1,12,12,1,0,0,0,3,,0
USD,120,0,1,1,0,,0,1,5,13,1,1,1,13,3,,0
EUR,36,0,0,,0,,0,1,12,12,1,0,1,12,3,,0
USD,114,0,0,,0,,0,1,8,10,1,0,1,6,3,,0
USD,120,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
USD,6,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
USD,85,0,1,2,0,,0,1,5,6,0,0,1,13,3,,0
USD,33,0,1,1,0,,0,1,13,13,0,0,0,0,3,,0
EUR,36,0,1,1,0,,0,1,5,13,0,0,1,13,3,,0
EUR,36,0,0,,0,,0,1,6,6,0,0,1,5,3,,0
EUR,81,0,0,,0,,0,1,0,0,0,0,0,0,3,,0
EUR,81,3,1,4,0,,0,1,13,12,0,0,1,12,2,,0
EUR,26,0,0,,0,,0,1,12,12,0,1,0,0,3,,0
EUR,36,0,0,,0,,0,1,13,13,0,0,0,0,3,,0
EUR,36,0,1,1,1,1,2.314993440851917586233505672,0,13,13,0,0,1,5,3,0,0
USD,85,5,1,6,0,,0,1,5,13,0,0,0,0,3,5,0
EUR,29,1,1,2,1,3,1.929161200709931321861254726,0,12,12,0,0,1,12,3,0,0
USD,1,0,1,1,1,16,3.858322401419862643722509453,3,13,6,1,1,1,12,2,0,0
EUR,36,0,1,1,0,,0,1,10,10,0,0,0,0,3,,0
