date,incomes
2019-05-23,166543.95285050856
2019-05-24,167404.44543413096
2019-05-26,168309.28144709356
2019-05-27,169184.71716573607
2019-05-28,170054.87977996207
2019-05-29,170809.97667180182
2019-05-30,171521.08665008788
2019-05-31,172208.62939770473
2019-06-02,172741.1958366902
2019-06-03,173328.3834029162
2019-06-04,173941.13595952909
2019-06-05,174824.45865398375
2019-06-06,175704.33432908263
2019-06-07,176722.40861912858
2019-06-09,177651.17319301047
2019-06-10,178250.30339210312
2019-06-11,178740.074152382
2019-06-12,179131.30287585204
2019-06-13,179552.83903787576
2019-06-14,180026.25478194503
2019-06-16,180504.18600246945
2019-06-17,180932.33162008843
2019-06-18,181331.2684741615
2019-06-19,181696.27184527507
2019-06-20,181915.71424908066
2019-06-21,182125.41862270414
2019-06-23,182290.09639304044
2019-06-24,182582.3007513689
2019-06-25,182839.52862381004
2019-06-26,183198.125143815
2019-06-27,183600.74731838418
2019-06-28,183778.9781871799
2019-06-30,184067.94030248263
2019-07-01,184308.74933207867
2019-07-02,184597.98674144683
2019-07-03,184666.83146081452
2019-07-04,184612.90414391534
2019-07-05,184443.7834048707
2019-07-07,184283.9460820597
2019-07-08,184287.12908758098
2019-07-09,184113.0679526186
2019-07-10,183932.25781952465
2019-07-11,183743.27660478046
2019-07-12,183600.07272557536
2019-07-14,183417.122859956
2019-07-15,183320.7810016838
2019-07-16,183303.4535018812
2019-07-17,183167.26394483892
2019-07-18,183071.5167820015
2019-07-19,182808.77805901054
2019-07-21,182515.58497339347
2019-07-22,182139.78394819453
2019-07-23,181765.04477951102
2019-07-24,181305.68928387488
2019-07-25,180831.03776969982
2019-07-26,180490.04401391838
2019-07-28,180155.94090433657
2019-07-29,179865.7290465611
2019-07-30,179494.0910016261
2019-07-31,179163.67640963953
2019-08-01,178972.65285697795
2019-08-02,178797.5356221052
2019-08-04,178617.9533000604
2019-08-05,178495.94461024643
2019-08-06,178556.94912444858
2019-08-07,178662.08349823885
2019-08-08,178809.09011647623
2019-08-09,178834.47209780238
2019-08-11,178839.2144575413
2019-08-12,178795.08663062283
2019-08-13,178715.9614709663
2019-08-14,178758.0379445225
2019-08-15,178721.92689968296
2019-08-16,178714.15384612852
2019-08-18,178709.13340965938
2019-08-19,178711.97930587205
2019-08-20,178734.31346400012
2019-08-21,178752.5891194124
2019-08-22,178800.45046193327
2019-08-23,178939.84709251398
2019-08-25,179117.2735669306
2019-08-26,179238.5956291377
2019-08-27,179362.479986483
2019-08-28,179411.46336497593
2019-08-29,179397.03137506577
2019-08-30,179304.0105246902
2019-09-01,179168.0418749826
2019-09-02,178967.59646339057
2019-09-03,178756.80947815866
2019-09-04,178552.45928850863
2019-09-05,178347.97123920414
2019-09-06,178147.5396659464
2019-09-08,177954.32339301702
2019-09-09,177787.13443342134
2019-09-10,177515.98780370882
2019-09-11,177243.06145583224
2019-09-12,177051.80007146293
2019-09-13,176949.57348566767
2019-09-15,176927.91368706373
2019-09-16,176951.39450700645
2019-09-17,176844.77249341243
2019-09-18,176830.1704942538
2019-09-19,176861.4923096814
2019-09-20,176785.71439586452
2019-09-22,176624.3403369264
2019-09-23,176517.40750382392
2019-09-24,176434.2243824481
2019-09-25,176462.32087484119
2019-09-26,176638.5226665315
2019-09-27,176936.54014423752
2019-09-29,177218.1829862903
2019-09-30,177591.68931813719
2019-10-01,178083.45785634362
2019-10-02,178682.55458123802
2019-10-03,179310.12678235717
2019-10-04,179984.62290295807
2019-10-06,180768.39780518517
2019-10-07,181582.53771226612
2019-10-08,182437.57809521683
2019-10-09,183216.37258574436
2019-10-10,184048.48236638153
2019-10-11,185033.55002343922
2019-10-13,185993.10158152727
2019-10-14,187006.64229444286
2019-10-15,188267.23397832716
2019-10-16,189611.86903468915
2019-10-17,190994.77022429477
2019-10-18,192479.85890479787
2019-10-20,193962.15292914756
